"id","code","name","municipality_id","department_id","postal_code"
5145,"05145000","CARAMANTA ANTIOQUIA","5145","5","056040"
5147,"05147000","CAREPA ANTIOQUIA","5147","5","057850"
5148,"05148000","EL CARMEN DE VIBORAL ANTIOQUIA","5148","5","054030"
5150,"05150000","CAROLINA ANTIOQUIA","5150","5","051840"
5154,"05154000","CAUCASIA ANTIOQUIA","5154","5","052410"
5172,"05172000","CHIGORODO ANTIOQUIA","5172","5","057410"
5190,"05190000","CISNEROS ANTIOQUIA","5190","5","053050"
5197,"05197000","COCORNA ANTIOQUIA","5197","5","054440"
5206,"05206000","CONCEPCION ANTIOQUIA","5206","5","053810"
5209,"05209000","CONCORDIA ANTIOQUIA","5209","5","056410"
5212,"05212000","COPACABANA ANTIOQUIA","5212","5","051040"
5234,"05234000","DABEIBA ANTIOQUIA","5234","5","057430"
5237,"05237000","DON MATIAS ANTIOQUIA","5237","5","051850"
5240,"05240000","EBEJICO ANTIOQUIA","5240","5","055810"
5250,"05250000","EL BAGRE ANTIOQUIA","5250","5","052430"
5264,"05264000","ENTRERRIOS ANTIOQUIA","5264","5","051430"
5266,"05266000","ENVIGADO ANTIOQUIA","5266","5","055420"
5282,"05282000","FREDONIA ANTIOQUIA","5282","5","055070"
5284,"05284000","FRONTINO ANTIOQUIA","5284","5","057450"
5306,"05306000","GIRALDO ANTIOQUIA","5306","5","057040"
5308,"05308000","GIRARDOTA ANTIOQUIA","5308","5","051030"
5310,"05310000","GOMEZ PLATA ANTIOQUIA","5310","5","051830"
5313,"05313000","GRANADA ANTIOQUIA","5313","5","054410"
5315,"05315000","GUADALUPE ANTIOQUIA","5315","5","051820"
5318,"05318000","GUARNE ANTIOQUIA","5318","5","054050"
5321,"05321000","GUATAPE ANTIOQUIA","5321","5","053840"
5347,"05347000","HELICONIA ANTIOQUIA","5347","5","055820"
5353,"05353000","HISPANIA ANTIOQUIA","5353","5","056450"
5360,"05360000","ITAGUI ANTIOQUIA","5360","5","055412"
5361,"05361000","ITUANGO ANTIOQUIA","5361","5","052070"
5364,"05364000","JARDIN ANTIOQUIA","5364","5","056050"
5368,"05368000","JERICO ANTIOQUIA","5368","5","056010"
5376,"05376000","LA CEJA ANTIOQUIA","5376","5","055010"
5380,"05380000","LA ESTRELLA ANTIOQUIA","5380","5","055460"
5390,"05390000","LA PINTADA ANTIOQUIA","5390","5","055067"
5400,"05400000","LA UNION ANTIOQUIA","5400","5","055020"
5411,"05411000","LIBORINA ANTIOQUIA","5411","5","051460"
5425,"05425000","MACEO ANTIOQUIA","5425","5","053460"
